address,role,status,dns_name,description,comments
2606:1a40:1::5/128,anycast,active,s5.freedns.controld.com,Control D(Uncensored),
76.76.2.0/32,anycast,active,p0.freedns.controld.com,Control D(Unfiltered),
76.76.10.0/32,anycast,active,s0.freedns.controld.com,Control D(Unfiltered),
2606:1a40::/128,anycast,active,p0.freedns.controld.com,Control D(Unfiltered),
2606:1a40:1::/128,anycast,active,s0.freedns.controld.com,Control D(Unfiltered),
8.8.8.8/32,anycast,active,dns.google.com,Google DNS,
8.8.4.4/32,anycast,active,dns.google.com,Google DNS,
2001:4860:4860::8888/128,anycast,active,dns.google.com,Google DNS,
2001:4860:4860::8844/128,anycast,active,dns.google.com,Google DNS,
2001:4860:4860::64/128,anycast,active,dns.google.com,Google DNS64,
2001:4860:4860::6464/128,anycast,active,dns.google.com,Google DNS64,
9.9.9.11/32,anycast,active,dns11.quad9.net,Quad9 Secures w/ECS,
149.112.112.11/32,anycast,active,dns11.quad9.net,Quad9 Secures w/ECS,
2620:fe::11/128,anycast,active,dns11.quad9.net,Quad9 Secures w/ECS,
2620:fe::fe:11/128,anycast,active,dns11.quad9.net,Quad9 Secures w/ECS,
9.9.9.9/32,anycast,active,dns.quad9.net,Quad9 Standard DNS,
149.112.112.112/32,anycast,active,dns.quad9.net,Quad9 Standard DNS,
2620:fe::9/128,anycast,active,dns.quad9.net,Quad9 Standard DNS,
2620:fe::fe/128,anycast,active,dns.quad9.net,Quad9 Standard DNS,
149.112.112.9/32,anycast,active,dns9.quad9.net,Quad9 Standard DNS,
2620:fe::fe:9/128,anycast,active,dns9.quad9.net,Quad9 Standard DNS,
9.9.9.10/32,anycast,active,dns10.quad9.net,Quad9 Unsecured,
149.112.112.10/32,anycast,active,dns10.quad9.net,Quad9 Unsecured,
2620:fe::10/128,anycast,active,dns10.quad9.net,Quad9 Unsecured,
2620:fe::fe:10/128,anycast,active,dns10.quad9.net,Quad9 Unsecured,
